item;sourceFile;imageFile;sku;blingId;blingName;displayName;variationLabel;status
150;ChatGPT Image 3 de jul. de 2026, 13_05_20 (2).png;150-corda-para-celular-com-opcoes-de-cor-3104000001158-roxo.png;3104000001158;16521181719;CORDA DE CELULAR;Corda para Celular com Opcoes de Cor;Roxo;APLICADO_LOCAL_COM_VARIACAO
151;ChatGPT Image 3 de jul. de 2026, 13_05_20 (3).png;151-corda-para-celular-com-opcoes-de-cor-3104000001158-dourado.png;3104000001158;16521181719;CORDA DE CELULAR;Corda para Celular com Opcoes de Cor;Dourado;APLICADO_LOCAL_COM_VARIACAO
152;ChatGPT Image 3 de jul. de 2026, 13_06_05 (1).png;152-corda-para-celular-com-opcoes-de-cor-3104000001158-prateado.png;3104000001158;16521181719;CORDA DE CELULAR;Corda para Celular com Opcoes de Cor;Prateado;APLICADO_LOCAL_COM_VARIACAO
156;ChatGPT Image 3 de jul. de 2026, 13_06_27 (2).png;156-corda-para-celular-com-opcoes-de-cor-3104000001158-preto.png;3104000001158;16521181719;CORDA DE CELULAR;Corda para Celular com Opcoes de Cor;Preto;APLICADO_LOCAL_COM_VARIACAO
157;ChatGPT Image 3 de jul. de 2026, 13_06_27 (1).png;157-corda-para-celular-com-opcoes-de-cor-3104000001158-brilho.png;3104000001158;16521181719;CORDA DE CELULAR;Corda para Celular com Opcoes de Cor;Brilho;APLICADO_LOCAL_COM_VARIACAO
161;ChatGPT Image 3 de jul. de 2026, 13_07_25 (1).png;161-sabonete-intimo-com-opcoes-de-aroma-3104000000321-aromas-sortidos.png;3104000000321;16440936860;SABONETE INTIMO;Sabonete Intimo com Opcoes de Aroma;Aromas sortidos;APLICADO_LOCAL_COM_VARIACAO
162;ChatGPT Image 3 de jul. de 2026, 13_07_25 (2).png;162-sabonete-intimo-com-opcoes-de-aroma-3104000000321-barbatimao.png;3104000000321;16440936860;SABONETE INTIMO;Sabonete Intimo com Opcoes de Aroma;Barbatimao;APLICADO_LOCAL_COM_VARIACAO
163;ChatGPT Image 3 de jul. de 2026, 13_07_26 (3).png;163-sabonete-intimo-com-opcoes-de-aroma-3104000000321-chocolate-e-menta.png;3104000000321;16440936860;SABONETE INTIMO;Sabonete Intimo com Opcoes de Aroma;Chocolate e Menta;APLICADO_LOCAL_COM_VARIACAO
164;ChatGPT Image 3 de jul. de 2026, 13_07_26 (4).png;164-sabonete-intimo-com-opcoes-de-aroma-3104000000321-morango.png;3104000000321;16440936860;SABONETE INTIMO;Sabonete Intimo com Opcoes de Aroma;Morango;APLICADO_LOCAL_COM_VARIACAO
165;ChatGPT Image 3 de jul. de 2026, 13_07_26 (5).png;165-sabonete-intimo-com-opcoes-de-aroma-3104000000321-aroeira.png;3104000000321;16440936860;SABONETE INTIMO;Sabonete Intimo com Opcoes de Aroma;Aroeira;APLICADO_LOCAL_COM_VARIACAO
166;ChatGPT Image 3 de jul. de 2026, 13_07_26 (6).png;166-sabonete-intimo-com-opcoes-de-aroma-3104000000321-tutti-frutti.png;3104000000321;16440936860;SABONETE INTIMO;Sabonete Intimo com Opcoes de Aroma;Tutti Frutti;APLICADO_LOCAL_COM_VARIACAO
167;ChatGPT Image 3 de jul. de 2026, 13_07_30 (7).png;167-sabonete-intimo-com-opcoes-de-aroma-3104000000321-amora-negra.png;3104000000321;16440936860;SABONETE INTIMO;Sabonete Intimo com Opcoes de Aroma;Amora Negra;APLICADO_LOCAL_COM_VARIACAO
169;ChatGPT Image 3 de jul. de 2026, 13_07_53 (2).png;169-pochete-premium-3104000001344-modelo-esportivo.png;3104000001344;16522845325;POCHETE PREMIUM;Pochete Premium;Modelo esportivo;APLICADO_LOCAL_COM_VARIACAO
173;ChatGPT Image 3 de jul. de 2026, 13_08_12 (2).png;173-mini-robo-aspirador-3104000005812-branco.png;3104000005812;16671771004;MINI ROBÔ ASPIRADOR BRANCO;Mini Robo Aspirador;Branco;APLICADO_LOCAL_COM_VARIACAO
174;ChatGPT Image 3 de jul. de 2026, 13_08_13 (3).png;174-mini-robo-aspirador-3104000005812-modelo-compacto.png;3104000005812;16671771004;MINI ROBÔ ASPIRADOR BRANCO;Mini Robo Aspirador;Modelo compacto;APLICADO_LOCAL_COM_VARIACAO
224;ChatGPT Image 3 de jul. de 2026, 13_12_30 (1).png;224-triturador-e-processador-de-alimentos-3104000000465-mini-processador.png;3104000000465;16440937457;TRITURADOR/PROCESSADOR DE ALIMENTO;Triturador e Processador de Alimentos;Mini processador;APLICADO_LOCAL_COM_VARIACAO
232;ChatGPT Image 3 de jul. de 2026, 13_12_48 (4).png;232-mini-balanca-digital-de-cozinha-3104000004300-digital.png;3104000004300;16648889349;MINI BALANÇA;Mini Balanca Digital de Cozinha;Digital;APLICADO_LOCAL_COM_VARIACAO
233;ChatGPT Image 3 de jul. de 2026, 13_12_49 (5).png;233-pulseira-para-smartwatch-com-opcoes-de-cor-3104000000163-cores-sortidas.png;3104000000163;16440936126;PULSEIRA SMART BASICO;Pulseira para Smartwatch com Opcoes de Cor;Cores sortidas;APLICADO_LOCAL_COM_VARIACAO
237;ChatGPT Image 3 de jul. de 2026, 13_13_19 (4).png;237-pulseira-para-smartwatch-com-opcoes-de-cor-3104000000163-esportiva.png;3104000000163;16440936126;PULSEIRA SMART BASICO;Pulseira para Smartwatch com Opcoes de Cor;Esportiva;APLICADO_LOCAL_COM_VARIACAO
239;ChatGPT Image 3 de jul. de 2026, 13_33_14 (2).png;239-pulseira-para-smartwatch-com-opcoes-de-cor-3104000000163-silicone-colorida.png;3104000000163;16440936126;PULSEIRA SMART BASICO;Pulseira para Smartwatch com Opcoes de Cor;Silicone colorida;APLICADO_LOCAL_COM_VARIACAO
238;ChatGPT Image 3 de jul. de 2026, 13_33_14 (1).png;238-pulseira-smartwatch-estilo-couro-3104000004504-estilo-couro-colorida.png;3104000004504;16655324838;PULSEIRA SMART COURO;Pulseira Smartwatch Estilo Couro;Estilo couro colorida;APLICADO_LOCAL_COM_VARIACAO
