nome,sku,blingId,arquivo_imagem,fonte,status_imagem
"ANEL PENIANO ROSA DE ORELHA","3104000004742","16666342377","anel-peniano-rosa-de-orelha-3104000004742.jpg","ID_OK","VISIVEL"
"ANEL PENIANO ROXO DE ORELHA","3104000004741","16666342223","anel-peniano-roxo-de-orelha-3104000004741.jpg","ID_OK","VISIVEL"
"ALGEMA PRATA TRADICIONAL","3104000004740","16666340000","algema-prata-tradicional-3104000004740.jpg","ID_OK","VISIVEL"
"ALGEMA PRETA VELUDO","3104000004739","16666339674","algema-preta-veludo-3104000004739.jpg","ID_OK","VISIVEL"
"ALGEMA VERMELHA VELUDO","3104000004738","16666339520","algema-vermelha-veludo-3104000004738.jpg","ID_OK","VISIVEL"
"ALGEMA BRANCA VELUDO","3104000004737","16666339307","algema-branca-veludo-3104000004737.jpg","ID_OK","VISIVEL"
"ALGEMA ROSA VELUDO","3104000004736","16666339092","algema-rosa-veludo-3104000004736.jpg","ID_OK","VISIVEL"
"ALGEMA ONÇA VELUDO","3104000004735","16666338734","algema-onca-veludo-3104000004735.jpg","ID_OK","VISIVEL"
"VIRGINITE GEL","3104000004727","16666189653","virginite-gel.png","ID_OK","VISIVEL"
"AMOXSEX GEL","3104000004726","16666189191","","SEM_IMAGEM","OCULTO"
"GEL CHINÊS SEXY","3104000004725","16666188473","gel-chines-sexy-3104000004725.jpg","ID_OK","VISIVEL"
"DANDO UMA GOSTOSO GEL","3104000004723","16666185629","dando-uma-gostoso-gel.png","ID_OK","VISIVEL"
"COME ANEL GEL","3104000004722","16666182305","","SEM_IMAGEM","OCULTO"
"QY MORANGO GEL","3104000004721","16666181989","","SEM_IMAGEM","OCULTO"
"GEL SENSUAL","3104000004720","16666181502","gel-sensual-3104000004720.jpg","ID_OK","VISIVEL"
"HOT ICE GEL","3104000004719","16666181276","hot-ice-gel-3104000004719.jpg","ID_OK","VISIVEL"
"SEMPRE VIRGEM GEL","3104000004718","16666181025","sempre-virgem-gel.png","ID_OK","VISIVEL"
"MAIS BUMBUM GEL","3104000004717","16666180810","mais-bumbum-gel-3104000004717.jpg","ID_OK","VISIVEL"
"NABUCETÃO GEL","3104000004716","16666180492","nabucetao-gel-3104000004716.jpg","ID_OK","VISIVEL"
"METE FICHA GEL","3104000004715","16666180138","mete-ficha-gel.png","ID_OK","VISIVEL"
"PERERECARD","3104000004714","16665984866","pererecard-gel.png","ID_OK","VISIVEL"
